retailer,brand,product_count,brand_rank
Gardinen-Center,Alena,1,1
Gardinen-Center,Mariall,1,1
Gico Spielwaren,GICO,1,1
Giseke GmbH & Co. KG,Powery,2,1
Glückskind,LEGO® Wear,1,1
GoJungo GmbH,SINNER,1,1
GoJungo GmbH,NÙNOO,1,1
GoJungo GmbH,FableWood,1,1
GoJungo GmbH,STUDIO,1,1
GoJungo GmbH,F4NT4STIC,1,1
Goebel GmbH,GOEBEL GmbH,1,1
Gomazing,WWF,1,1
Gomazing,Winning Moves,1,1
Gomazing,Nici,1,1
Gomazing,Maisto®,1,1
Goods & Gadgets GmbH,Goods+Gadgets,1,1
Gozos,Gozos,1,1
Gravidus,Gravidus,1,1
GreenFarm,FeelGlad,1,1
GuenstigEinrichten,trendteam,1,1
Guru-Shop,Guru-Shop,6,1
H&D shoes and more instlyle GmbH,Gabor,1,1
H4G GmbH,EUROLITE,1,1
H4G GmbH,SATISFIRE,1,1
HAMBURGER WEIHNACHTSKONTOR®,Hamburger Weihnachtskontor,1,1
HBH HAMBURG BRAND HOUSE,CRICKIT,1,1
HELBRECHT optics,KingKerosin,1,1
HELLER-SHOES,CECEBA,1,1
HandtuchWelt,Sheepworld,1,1
Haus der Marken Shop Obertshausen,Skechers,1,1
Heim und Garten 24,Shaf,1,1
Hemden-Meister#ft5_slash#Mode Schödlbauer,Boss,1,1
Hemden-Meister#ft5_slash#Mode Schödlbauer,OLYMP,1,1
Hetzl & Hirsch,Guess,1,1
Hollert,Hollert,1,1
Holzenplotz,denaná,1,1
Holzenplotz,La Siesta,1,1
Home & Play,CALVENDO,55,1
HomebyHome,HomebyHome,1,1
Hometex Premium Textiles,Hometex Premium Textiles,1,1
Hometex exclusiv GmbH,Sansibar Sylt,1,1
Homewit Direct,Homewit,1,1
Horror-Shop,Horror-Shop,4,1
Horror-Shop,Amscan,2,2
Horror-Shop,Harry Potter,2,2
Horror-Shop,Smiffys,1,4
Housewares Digital,Dr. Oetker,1,1
Hustling Sharks,Hustling Sharks,1,1
Hutshopping,Lierys,1,1
Hutshopping,New Era,1,1
Hyperooms,Salta,1,1
IBG GmbH,BeebeeRun,1,1
ICED OUT,New Era,4,1
ICED OUT,'47 Brand,1,2
ICED OUT,Fanatics,1,2
ICED OUT,WinCraft,1,2
IDEAL TREND GmbH,IDEAL TREND,1,1
IM-Trading,ZELLERFELD,2,1
IM-Trading,cofi1453,1,2
IM-Trading,Megaman Jeans,1,2
INTERSPORT Schwab,McKinley,1,1
ITG Lifestyle,Young Couture by Barbara Schwarzer,1,1
Inkadoo,Inkadoo,2,1
Inkovideo GmbH & Co. KG,Reolink,1,1
Innorido,HappyGoo,1,1
Internetstores,NORCO,1,1
Internetstores,Y by Nordisk,1,1
Internetstores,Mammut,1,1
Internetstores,Topeak,1,1
Internetstores,BBB,1,1
JANA.SHOP,Jana.Shop,1,1
JOHANENLIES,JOHANENLIES,1,1
JULIE & GRACE GmbH,Elli,1,1
JV Möbel,JVmoebel,6,1
Jeans-Manufaktur,MAC,1,1
Junado,Junado®,4,1
Jung GmbH,Paul Malone,1,1
JuniorToys,Hasbro,1,1
Juniqe,Juniqe,2,1
Juvalia,Eastside,1,1
Juvalia,Glanzstücke München,1,1
Juvalia,Rhodenwald & Söhne,1,1
Juwelier-Bacak,Engelsrufer,1,1
K. S. company GmbH,K-S-Trade,90,1
KAALEE jewelry,KAALEE,1,1
KARE,KARE,1,1
KHEbikes1988,KHE,1,1
KS Laserdesign,KS Laserdesign,1,1
KTK Handel,Goebel,2,1
KTK Handel,Birkmann,1,2
KTK Handel,Maxwell & Williams,1,2
KTK Handel,Ritzenhoff,1,2
KUNSTLOFT,KUNSTLOFT,6,1
KW-Commerce,kwmobile,4,1
KW-Commerce,Navaris,2,2
Kaffeeexpress24,Jotaca,1,1
Karisma Schmuck,Karisma,1,1
Kasper Wohndesign,KAWOLA,1,1
Kerzenboutique,Wiedemann Kerzen,1,1
Kiebel,Kiebel,4,1
Kinderhaus-Blaubaer,Alvi®,1,1
Kinderspieleland,Feuerwehrmann Sam,1,1
Kiss of Leather,Kiss of Leather,3,1
Koi Herdecke Pool & Teich,ARKA Biotechnologie GmbH,1,1
KraftKids,KraftKids,3,1
Kranich-Shop,Picard,1,1
Kreative Feder,Kreative Feder,2,1
König Design,König Design,5,1
LMshop,Masbekte,2,1
LONNOL,Fangqi,1,1
LaEvitaBerlinia-Shop,Erario D'Or,1,1
LebensWohnArt,LebensWohnArt,1,1
Lederjacken24,Gipsy,1,1
Lemodo GmbH,Procyon,1,1
LetGospt,LETGOSPT,1,1
Licht-Erlebnisse,Licht-Erlebnisse,2,1
Lieblingsleuchten,Aldex,1,1
Lieblingsleuchten,Belid,1,1
Lingda GmbH,AREOUT,1,1
Linger(y),Linger(y),1,1
Linoows,Linoows,1,1
Livario,Rubie´s,1,1
Livario,Wilbers,1,1
Living Stars,Sander,2,1
Living Stars,LIVING DREAMS,1,2
Logbuch-Verlag,Logbuch-Verlag,2,1
LogiConnection,H.A.D. Originals,1,1
Lomadox,Lomadox,9,1
Looping-Lu,Böker Plus,1,1
Ludwig Artzt GmbH,ARTZT vitality,1,1
LuriX,Schiesser,1,1
Luxentu,Sigikid,1,1
Luxentu,Lindner Original,1,1
Luxentu,Nachtmann,1,1
Luxentu,Ritzenhoff & Breker,1,1
Lyunhing GmbH,COOL-i ®,1,1
LÖNING Conceptstore & Onlineshop,MbyM,1,1
Löchel Industriebedarf,Reyher,50,1
Löchel Industriebedarf,SONSTIGE,35,2
Löchel Industriebedarf,PROMAT,7,3
Löchel Industriebedarf,Wera,3,4
Löchel Industriebedarf,KS Tools,2,5
Löchel Industriebedarf,Gedore,2,5
MACOSA HOME,Macosa Home,1,1
MADELEINE,MADELEINE,1,1
MANAGERTOYS.de,HR GRIP,1,1
METAMORPH,Rasta Imposta,1,1
METAMORPH,Prime Time Toys,1,1
METAMORPH,SuitMeister,1,1
METAMORPH,Morphsuits,1,1
MOCAVI,Salonloewe,1,1
MODALO,LUXWINDER,1,1
MOTIVISSO,MOTIVISSO,5,1
MOTIVISSO,NORDIC WORDS,2,2
MUSIC STORE professional GmbH,Fame Audio,1,1
MUSIC STORE professional GmbH,MUSIC STORE,1,1
MWT Mehrwegtoner,Mehrwegtoner,1,1
Madatshop,ZMORPH,1,1
Madera Spielzeug,Fantashion,1,1
MamboCat,MamboCat,1,1
Markenkoffer,Bric's,1,1
Markt-Bau,Creavit,1,1
Mary & Paul,GUIDO MARIA KRETSCHMER,2,1
Mary & Paul,Jack & Jones,2,1
Mary & Paul,Modström,2,1
Mary & Paul,VALENTINO BAGS,1,4
Mary & Paul,SELECTED FEMME,1,4
Mary & Paul,Guess,1,4
Mary & Paul,Varley,1,4
Mary & Paul,Marika,1,4
Mary & Paul,Mey,1,4
Mary & Paul,Vero Moda,1,4
Mary & Paul,Doughnut,1,4
Mary & Paul,True Decadence,1,4
Mary & Paul,Didriksons,1,4
Mary & Paul,Part Two,1,4
Mary & Paul,Only,1,4
Mary & Paul,MAC,1,4
Mary & Paul,edc by Esprit,1,4
Mary & Paul,Esprit,1,4
Mary & Paul,LingaDore,1,4
Mary & Paul,Traffic People,1,4
Mary & Paul,minimum,1,4
Massivmoebel24,Massivmoebel24,3,1
Materia Schmuck,Materia,1,1
Mawoo,Vingino,1,1
Mawoo,Sanetta PURE,1,1
Mc-Sell-UG,Moritz,1,1
MeetU,Fortuna Lai,2,1
MeinJuwelier,ANNE KLEIN,1,1
Meisterei,Karat,1,1
Melvin & Hamilton,Melvin & Hamilton,1,1
Memoryking,deleyCON,1,1
Mezken,Simfer,2,1
Miweba GmbH,Heidenfeld,1,1
Miweba GmbH,Robway,1,1
MobiloTec,MobiloTec,3,1
MobiloTec,Asus,1,2
Moebelnet,ebuy24,9,1
Momelino & Naturfuß,ATTESA,1,1
Monkimau,Monkimau,1,1
Mosgo Fashion,Mosgo Fashion,1,1
Mr. & Mrs. Panda,Mr. & Mrs. Panda,12,1
Mucola,Mucola,3,1
Multistore 2002,Multistore 2002,2,1
Mustbuy GmbH,Homfa,2,1
Mustbuy GmbH,Femor,1,2
My Gads,Thumbs Up,2,1
MyMaxxi,MyMaxxi,1,1
Möbel Direkt Online,moebel-direkt-online,1,1
Möbel-Eins,Moebel-Eins,1,1
NERA GmbH,Tefal,1,1
NINETEC GmbH,Tito-Express PlatinumSerie,2,1
Netzwerkartikel,Aten,1,1
Netzwerkartikel,Inline,1,1
Next Germany GmbH,Next,15,1
Nicki Druck,Promodoro,1,1
OBOY Retail GmbH,DARKZONE,1,1
OSPIG ( Hersteller),Redpoint,1,1
OSTSEE-SCHMUCK,OSTSEE-SCHMUCK,4,1
OTTO,PUMA,10,1
OTTO,Home affaire,9,2
OTTO,queence,8,3
OTTO,adidas Performance,8,3
OTTO,Adelia´s,7,5
OTTO,morgenland,7,5
OTTO Office,HAMMERBACHER,1,1
OTTO Office,MÖBELPARTNER,1,1
OTTO Office,SODEMATUB,1,1
Oefele Jagd & Outdoor Shop,Veith,1,1
Ofenoutlet,Thermia,2,1
Office Partner,Optoma,3,1
Office Partner,TP-Link,1,2
Olano GmbH,OKI,1,1
Olano GmbH,Everki,1,1
Olano GmbH,G.Skill,1,1
Olano GmbH,Asus,1,1
Olano GmbH,Chieftec,1,1
Olano GmbH,AlphaCool,1,1
Olano GmbH,nevox,1,1
Ondis24,ONDIS24,1,1
One Home,One Home,1,1
One Kitchen,de Buyer,1,1
OneRedox,OneRedox,2,1
Orident,Kujo,1,1
Oriental Galerie,Oriental Galerie,1,1
Oskar-Store,VitaliSpa®,1,1
Outlet46,Pepe Jeans,1,1
Outlet46,TIMEZONE,1,1
Outlet46,Tazzio,1,1
Outlet46,WOOD FELLAS,1,1
Outlet46,TUZZI,1,1
P4 Markets,re.draft,1,1
P4 Markets,Threadbare,1,1
P4 Markets,Mastersox,1,1
PANGU,PANGU,1,1
PHS-electronic gmbh,PHS-memory,15,1
PRIARA,KS Tools,3,1
PRIARA,BGS technic,2,2
Paul Sinus Art,Sinus Art,2,1
Perfekt Wohnen,kueatily,2,1
Photocircle,Photocircle,3,1
Pierre Cardin,Pierre Cardin,1,1
Pixxass.de,Peak Design,1,1
Pixxprint,Pixxprint,6,1
Planenscout GmbH,LYSEL®,1,1
PonyCycle GmbH,PonyCycle,1,1
Popken Fashion Group,Ulla Popken,12,1
Popken Fashion Group,Gina Laura,5,2
Popken Fashion Group,FORSBERG,1,3
Posterlounge,Posterlounge,20,1
Preiswert24,Kenneth Cole,2,1
Price-Guard,Hot Wheels,1,1
Price-Guard,Philips,1,1
Price-Guard,Garmin,1,1
Price-Guard,Sky Vision,1,1
Primedeco,Primedeco,7,1
Pro Inventive GmbH,#proinventive,1,1
Procommerce,Proregal,1,1
Protinam,PAPSTAR,1,1
Protinam,Bolsius,1,1
Quermalerei,Clayre & Eef,1,1
RAUMTEXTILIENSHOP,LYSEL®,1,1
REITSPORT24,ELT,1,1
REITSPORT24,HKM,1,1
RHG Onlinehandels GmbH,Fischer Befestigungstechnik,1,1
RHG Onlinehandels GmbH,Kopp,1,1
ROCKBROS_Europe,ROCKBROS,2,1
Relaxdays,relaxdays,13,1
Rosenthal GmbH,Rosenthal,2,1
Rosenthal GmbH,Thomas Porzellan,1,2
Rosenthal GmbH,Rosenthal meets Versace,1,2
Rosenthal GmbH,ARZBERG,1,2
S&O Handelsgesellschaft mbH,SO-TECH®,4,1
SANILO,Sanilo,1,1
SEBSON,SEBSON,4,1
SECOMP Electronic Components GmbH,ROLINE,4,1
SECOMP Electronic Components GmbH,VALUE,1,2
SHOEcity,GERRY WEBER,1,1
SONNENSEGEL.guru,Toldoro,1,1
STILORD GmbH,STILORD,1,1
SYSTEMTREFF,SYSTEMTREFF,2,1
Salamander,Pius Gabor,1,1
Salamander,Högl,1,1
Salamander,Lloyd,1,1
Sandritas,Rocks-Off,1,1
Sandritas,LoveBOXXX,1,1
Sandritas,Music Legs,1,1
SatChef,DUR-line,1,1
SatChef,conecto,1,1
Schmidt Trading,LARAWELL,1,1
Schraubenhimmel,Fischer Befestigungstechnik,1,1
Schuh-Weith,Tamaris,1,1
Schuhe Lüke,Paul Green,2,1
Schuhe Shop,Rieker,1,1
Schuhe-Trentasette,Bullboxer,2,1
Schuhe-Trentasette,G&G,1,2
Schuhe-Trentasette,Vista,1,2
Schuhkings,Art,1,1
Schuhkings,Mjus,1,1
Schöner Leben Shop,SCHÖNER LEBEN.,4,1
Sellbee GmbH,Bjird,1,1
Setpoint Deutschland GmbH,meineWunschleuchte,1,1
Shirtracer,Shirtracer,7,1
Sibrise,Naturana,1,1
Sitheim,Sitheim-Europe,2,1
Skapetze Lichtmacher,Karman,1,1
Skapetze Lichtmacher,Licht-Trend,1,1
Skapetze Lichtmacher,FARO Barcelona,1,1
SoBuy,SoBuy,1,1
Soreso,Soreso®,4,1
Sparsando,SPS,1,1
Sport Butsch GmbH & Co.KG,Mammut,1,1
Sport Erdl,Tecno Pro,1,1
Sport Hopfmann GmbH,Icepeak,1,1
Sport Hopfmann GmbH,McKinley,1,1
Sport Klingenmaier,Fila,1,1
Sport Klingenmaier,Fubu,1,1
Sport Klingenmaier,sean john,1,1
Sport Schart [outdoor-trekking-fitness],Columbia,1,1
Sports-Box,Scott,1,1
Sports-Box,Outdoor Research,1,1
Sports-Box,Dakine,1,1
Sportshop-Triathlon,Zoggs,1,1
Sporttrend 24,Sunflex,1,1
Sportwelt Mickan,Craft,1,1
Stadler Online GmbH,3M,1,1
Stahl-Design Tebart GmbH & Co. KG,stahl-design-tebart,2,1
Staubsaugerladen.de Ihr Partner für Geräte und Zubehör,Staubsaugerladen.de Ihr Partner für Geräte und Zubehör,1,1
Steelboxx,Steelboxx,1,1
Stein-Experte,LEGO®,1,1
Steinchenwelt,Games Workshop,1,1
Steinchenwelt,LEGO®,1,1
Stellfeld & Ernst,CAGO,1,1
Stellfeld & Ernst,Dometic,1,1
Stockshop.de,Stockshop,1,1
Strickmoden Bruno Barthel - maximo & CAPO,CAPO,1,1
Styledorado,Heine,1,1
Styledorado,Ashley Brooke by heine,1,1
TOP TWO online,Franky,1,1
TRENDY AND NEW,TRENDY AND NEW,1,1
TRUSTKAUF ARENA,MORRENT,1,1
Talk-Point GmbH,Cloer,1,1
Tamara Lederwaren,Oilily,1,1
Tamara Lederwaren,Desigual,1,1
Taschenkaufhaus,BROOKS ENGLAND,1,1
Tauro,s.Oliver,1,1
Tauro,Remonte,1,1
Techlando,OTL Technologies,1,1
Teddys Rothenburg,Kösen,1,1
TeppichWorld,TeppichWorld,1,1
Terra Home,Max Winzer®,1,1
The Outlet 24,Replay,2,1
The Rock Shop,Banned,1,1
Timeless GmbH,Rebel On Wheels,1,1
Timeshop24,Traser,1,1
Tom Tailor E-Commerce GmbH,TOM TAILOR,2,1
Tom Tailor E-Commerce GmbH,TOM TAILOR Denim,1,2
Tomi-Otto,TAN.TOMI,2,1
Toner Kingdom,Greensky,1,1
Trachtenhof Nübler,Nübler,1,1
Trachtenland,BONDI,1,1
Trachtenland,Funny Fashion,1,1
Traumpreisfabrik,TPFLiving,2,1
Traumpreisfabrik,Paolo Renzo,1,2
Trend Shoes,Shoeboys,1,1
Trendbereich,Skechers,1,1
Trendmöbel24,Zuiver,1,1
Trollingshop GbR,Herbertz,1,1
Tuganna,Tuganna,1,1
Ugreen Group GmbH,UGREEN,1,1
Uhren4you,Carl von Zeyten,1,1
Uhren4you,Dugena,1,1
VAN GRAAF,Boss,1,1
VAN GRAAF,Andrew James,1,1
VASAGLE,SONGMICS,1,1
VBS Hobby,VBS,2,1
VBS Hobby,Fiskars,1,2
VON LILIENFELD,von Lilienfeld,1,1
VaGo GmbH,VaGo-Tools,1,1
VaGo-Toys,Vago®-Toys,1,1
Versandhandel Erwin Lücken,Weis seit 1903,1,1
Vevendo,Apollo,1,1
Victor Store,Victor (Zenith),1,1
Villeroy & Boch,Villeroy & Boch,3,1
Villeroy & Boch,like. by Villeroy & Boch,1,2
Vimoda Homestyle,Vimoda,1,1
Vladon,Vladon,1,1
WANDStyle,Mende Frames,1,1
WE LOVE BAGS,THE BRIDGE,3,1
WE LOVE BAGS,Campomaggi,2,2
WE LOVE BAGS,American Tourister®,1,3
WE LOVE BAGS,TOM TAILOR,1,3
WE LOVE BAGS,Step by Step,1,3
WE LOVE BAGS,Replay,1,3
WE LOVE BAGS,Herschel,1,3
WE LOVE BAGS,Cowboysbag,1,3
WE LOVE BAGS,VALENTINO BAGS,1,3
WE LOVE BAGS,GERRY WEBER,1,3
WE LOVE BAGS,Caterina Lucchi,1,3
WE LOVE BAGS,Greenburry,1,3
WE LOVE BAGS,Fritzi aus Preußen,1,3
WE LOVE BAGS,GreenLand Nature,1,3
WE LOVE BAGS,The Chesterfield Brand,1,3
WE LOVE BAGS,Salzen,1,3
WE LOVE BAGS,Desigual,1,3
WE LOVE BAGS,Strellson,1,3
WE LOVE BAGS,Patrizia Pepe,1,3
WE LOVE BAGS,Scout,1,3
WE LOVE BAGS,Jump,1,3
WE LOVE BAGS,Guess,1,3
WE LOVE BAGS,Gabs,1,3
WE LOVE BAGS,Bric’s,1,3
WE LOVE BAGS,Harold's,1,3
WS-Trend,Disney Cars 3,1,1
