brand,product_count,avg_price
Köhko,1,256.99
Schneider Schirme,1,256.13
CARSTYLER®,1,249.99
include,1,249.95
Orolino,1,249.0
meineWunschleuchte,1,240.99
PonyCycle,1,239.0
Zuiver,1,239.0
Flieks,1,229.99
Pirelli,1,229.99
Quadrato,1,229.0
Rid Essentials,1,229.0
Bric’s,1,227.5
VaGo-Tools,1,221.9
HELA,1,219.99
moebel17,1,219.9
ARKA Biotechnologie GmbH,1,219.9
Entre Prises,1,219.0
Firetti,1,218.98
Aten,1,211.97
ALEXANDER MCQUEEN,1,207.0
Places of Style,1,199.99
RAMSES,1,199.99
INOSIGN,1,199.99
SWIMS,1,199.99
Proregal,1,199.9
Piké,1,199.0
Meister Anker,1,199.0
Didriksons,1,199.0
Police,1,199.0
FAVS,1,199.0
M-Wave,1,198.95
BALDESSARINI,1,198.0
G.Skill,1,192.05
Y by Nordisk,1,191.99
Lowa,1,190.0
LebensWohnArt,1,189.9
Melvin & Hamilton,1,189.9
Ariete,1,187.99
Bronx,1,180.0
dc Dericompany,1,179.99
Högl,1,179.95
Engbers,1,179.95
VitaliSpa®,1,179.9
Gipsy,1,179.9
Gipfelstürmer,1,179.9
Schlagwerk,1,179.9
JEVELION,1,179.9
Shark,1,179.9
Bravios,1,179.9
KAWOLA,1,179.0
Tuganna,1,178.0
Gozos,1,178.0
Clifton,1,177.19
True Decadence,1,175.0
Kleo,1,169.0
Applicata,1,167.5
Gastroback,1,159.99
CRICKIT,1,159.95
Emilia Lay,1,159.95
Traffic People,1,159.0
Smeg,1,159.0
Kübler,1,153.18
Licht-Trend,1,151.0
Jump,1,150.0
ATTESA,1,149.99
PawHut,1,149.9
La Siesta,1,149.9
24Kae,1,149.0
Festina,1,149.0
Sky Vision,1,144.9
Femor,1,139.99
Basler,1,139.95
Casa Moro,1,139.9
Hollert,1,138.6
COOL-i ®,1,134.99
CONTINENTAL,1,129.99
Luis Steindl,1,129.99
Shabbies Amsterdam,1,129.98
deuter,1,129.95
LOVE MOSCHINO,1,129.95
Rhodenwald & Söhne,1,129.0
Harold's,1,129.0
SOMPEX,1,128.09
MCW,1,126.99
Angerer Freizeitmöbel,1,126.32
Chilewich,1,125.0
Art,1,120.0
Gami,1,119.99
SIOUX,1,119.95
sean john,1,119.95
FORSBERG,1,119.95
Sela,1,119.9
Fanatics,1,119.9
Mjus,1,119.9
Apollo,1,119.9
Fonderia,1,119.0
Harpa,1,119.0
Kratki,1,119.0
American Tourister®,1,112.46
PeakTech,1,112.34
Chipolino,1,110.95
Jahnke,1,109.99
Love Nature,1,109.99
Aldex,1,109.89
SELECTED FEMME,1,109.0
Knit Factory,1,106.95
Vitrine24.de,1,106.49
Gabs,1,105.0
De'Longhi,1,104.99
TROLLKIDS,1,103.99
Chieftec,1,102.85
Fangqi,1,99.99
Sanilo,1,99.98
ELT,1,99.95
Pius Gabor,1,99.95
Redpoint,1,99.95
Uhrenhuette,1,99.9
Cerbery,1,99.9
MAXXMEE,1,99.9
STILORD,1,99.0
Bagan,1,99.0
MUSIC STORE,1,97.5
SCHULTE Regalwelt,1,97.26
IGI & CO,1,95.96
Rosenthal meets Versace,1,95.0
minimum,1,94.9
Everki,1,92.85
Bessey,1,91.99
Stockshop,1,91.44
UGG,1,90.99
de Buyer,1,90.0
B.K.Licht,1,89.99
Reolink,1,89.99
SONGMICS,1,89.99
STUDIO,1,89.95
Fashion Wacky.,1,89.95
Silvio Tossi,1,89.95
Lloyd,1,89.95
DOGO,1,89.95
CowParade,1,89.95
Varley,1,89.9
Tommy Jeans Curve,1,89.9
Nittaku,1,89.9
Doughnut,1,89.9
Regent,1,89.9
Shokz,1,89.39
VELUX,1,88.98
KONSTSMIDE,1,87.99
440s,1,87.89
Arbiton,1,85.59
Dometic,1,85.0
hofstein,1,84.99
Calvin Klein,1,84.99
Hangowear,1,84.99
SÄNGER,1,84.99
Philips,1,84.9
FOREO,1,83.27
Amewi,1,82.99
Lotus Gusspfannen,1,82.9
CARS JEANS,1,81.99
Mil-Tec,1,81.69
Naturana,1,80.95
SoBuy,1,80.9
Winning Moves,1,79.99
autolock,1,79.99
Nudie Jeans,1,79.99
MamboCat,1,79.99
Wilmes,1,79.99
Pierre Cardin,1,79.99
näve,1,79.98
MADELEINE,1,79.95
Ziener,1,79.95
Albatros International,1,79.95
Lierys,1,79.95
HKM,1,79.95
Strellson,1,79.95
Kreator,1,79.9
linovum,1,79.9
Meru,1,79.9
Jacob Jensen,1,79.9
FISCHER & HONSEL,1,79.9
ANNE KLEIN,1,79.0
Prestije,1,79.0
Vingino,1,79.0
CARVEN,1,77.74
BBB,1,76.99
Heys,1,76.93
Sunflex,1,76.9
ZMORPH,1,76.0
Naturehike,1,75.9
Zolotoy Mir,1,75.0
Dugena,1,75.0
Mende Frames,1,74.99
Cowboysbag,1,74.98
BERKEMANN,1,74.95
Remonte,1,74.95
Ecco,1,74.9
Vista,1,74.9
Winmau,1,74.9
GOEBEL GmbH,1,74.65
EUGAD,1,73.99
Learning Resources,1,73.99
Dogo Shoes,1,73.99
MÖBELPARTNER,1,72.59
Oilily,1,71.99
JUST VEGAN,1,71.98
Country Line,1,71.91
JEAN PAUL GAULTIER,1,71.72
Melon,1,70.99
WALSER,1,70.99
Homewit,1,70.99
denaná,1,70.95
PARADOR,1,70.25
HELD MÖBEL,1,70.18
FableWood,1,70.0
Engelsrufer,1,70.0
VIA APPIA DUE,1,69.99
moebel-direkt-online,1,69.99
Paul Vesterbro,1,69.99
Lady,1,69.99
MbyM,1,69.96
The Chesterfield Brand,1,69.95
VERDOBA,1,69.95
RAGMAN,1,69.95
Liebeskind Berlin,1,69.9
Navahoo,1,69.9
LAZY LEAF,1,69.9
Q by Endurance,1,69.9
Dry Fashion,1,69.9
Swarovski,1,69.79
Papillon,1,69.08
Smart Jewel,1,69.0
TOM TAILOR Denim,1,68.99
High Peak,1,68.95
Andiamo,1,68.21
MaDam-T,1,68.0
Venice Beach,1,67.15
Heunec®,1,66.88
3M,1,66.4
Sloggi,1,65.99
BeSports,1,65.98
Burton,1,65.0
White Label Living,1,65.0
Sitzplatz,1,64.99
seidensticker,1,64.99
Materia,1,64.95
SportPlus,1,64.95
Rasta Imposta,1,64.9
Morphsuits,1,64.9
PASO,1,64.9
Oriental Galerie,1,64.9
Robway,1,64.9
Kösen,1,64.9
Mavi,1,64.39
Clayre & Eef,1,64.35
FRAPP,1,63.99
Kickers,1,63.32
CAMP DAVID,1,62.97
Ritzenhoff & Breker,1,62.95
Heine,1,60.99
Creativ green,1,60.99
calo-deluxe,1,60.48
ESPRIT maternity,1,59.99
andas,1,59.99
Champion,1,59.99
Peak Design,1,59.99
aquaSu,1,59.99
Welt der Träume,1,59.99
Greenburry,1,59.95
Codello,1,59.95
Picard,1,59.95
Rieker,1,59.95
optimawohnen,1,59.95
LEAN Toys,1,59.95
Columbia,1,59.95
Nübler,1,59.95
Jimmy Sanders,1,59.9
HomebyHome,1,59.9
Eurotone,1,59.9
Pferd,1,59.28
Skagen,1,59.0
Nachtmann,1,59.0
PANGU,1,59.0
Young Couture by Barbara Schwarzer,1,59.0
SATISFIRE,1,59.0
Base Level Curvy,1,58.99
Franky,1,58.99
SEI Design,1,58.28
Balette,1,58.01
Destiny,1,58.0
Toldoro,1,57.99
TUZZI,1,55.99
Timemore,1,55.0
FARO Barcelona,1,55.0
Inspirationen,1,54.99
LoveBOXXX,1,54.97
Eastside,1,54.95
Beddinghouse,1,54.95
Geox,1,54.9
adidas TERREX,1,53.99
Favson,1,53.19
Topeak,1,52.99
Cloer,1,52.99
Haba,1,52.87
Madison,1,51.5
Anthoni Crown,1,50.99
soyaconcept,1,50.99
comma casual identity,1,49.99
PIKO,1,49.99
Andrew James,1,49.99
brunolie,1,49.99
MyToys-COLLECTION,1,49.99
OOZOO,1,49.95
GASOLINE BANDIT®,1,49.95
Böker Plus,1,49.95
G&G,1,49.95
Linger(y),1,49.95
KAALEE,1,49.9
Zwillingsherz,1,49.9
ambico,1,49.9
weargo,1,49.9
Rebel On Wheels,1,49.9
Erario D'Or,1,49.9
KERBHOLZ,1,49.0
bianca,1,48.27
Ichi,1,47.99
Smiffys,1,47.95
